degree_name,course_rubric,course_number,course_name,other_component_name,other_component_hours
Sociology B.S.,SOCI,4356,The Aging Experience,Major Requirements,54
Sociology B.S.,SOCI,4357,"Sociology of Family, Work, and Gender",Major Requirements,54
Literature B.A. with English Language Arts and Reading 7-12 Certification,TCED,4378,Pre-Service Internship I,Pedagogy Requirements,15
Literature B.A. with English Language Arts and Reading 7-12 Certification,TCED,4978,Pre-Service Internship II/Student Teaching,Pedagogy Requirements,15
Computer Engineering B.S.,ECON,2302,Principles of Microeconomics,University Core Requirements,42
Computer Engineering B.S.,GEOG,1303,World Regional Geography,University Core Requirements,42
Computer Engineering B.S.,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Computer Engineering B.S.,SOCI,1301,Introduction to Sociology,University Core Requirements,42
Computer Engineering B.S.,COMM,1315,Public Speaking,University Core Requirements,42
Computer Engineering B.S.,PSYC,1100,Learning Frameworks,University Core Requirements,42
Computer Science B.S.,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Computer Science B.S.,SOCI,1301,Introduction to Sociology,University Core Requirements,42
Computer Science B.S.,COMM,1315,Public Speaking,University Core Requirements,42
Computer Science B.S.,PSYC,1100,Learning Frameworks,University Core Requirements,42
Computer Science B.S.,PHYS,2125,Laboratory for University Physics I,University Core Requirements,42
Computer Science B.S.,PHYS,2126,Laboratory for University Physics II,University Core Requirements,42
Humanities B.A.,CRIM,1301,Introduction to Criminal Justice,University Core Requirements,42
Humanities B.A.,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Humanities B.A.,ECON,2302,Principles of Microeconomics,University Core Requirements,42
Humanities B.A.,GEOG,1303,World Regional Geography,University Core Requirements,42
Humanities B.A.,PSYC,2301,Introduction to Psychology,University Core Requirements,42
History B.A.,ARTS,1304,World Art Survey II,University Core Requirements,42
History B.A.,ARTS,2379,Arts and the Child,University Core Requirements,42
History B.A.,HIST,1301,United States History I,University Core Requirements,42
History B.A.,HIST,1302,United States History II,University Core Requirements,42
History B.A.,POLS,2305,Federal Government,University Core Requirements,42
History B.A.,POLS,2306,Texas Government,University Core Requirements,42
Chemistry BA with Physical Science 7-12 Certification,WRIT,1301,Composition I,University Core Requirements,42
Chemistry BA with Physical Science 7-12 Certification,WRIT,1302,Composition II,University Core Requirements,42
Chemistry BA with Physical Science 7-12 Certification,MATH,1314,College Algebra,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,WRIT,1301,Composition I,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,WRIT,1302,Composition II,University Core Requirements,42
Communication B.A.,CHEM,1311,General Chemistry I,University Core Requirements,42
Communication B.A.,CHEM,1312,General Chemistry II,University Core Requirements,42
Communication B.A.,ENSC,1301,Environmental Science I,University Core Requirements,42
Communication B.A.,ENSC,1302,Environmental Science II,University Core Requirements,42
Communication B.A.,GEOL,1303,Physical Geology,University Core Requirements,42
Communication B.A.,GEOL,1304,Historical Geology,University Core Requirements,42
Communication B.A.,PHYS,1301,College Physics I,University Core Requirements,42
Biological Sciences B.A. with Life Sciences 7-12 Certification,WRIT,1301,Composition I,University Core Requirements,42
Biological Sciences B.A. with Life Sciences 7-12 Certification,WRIT,1302,Composition II,University Core Requirements,42
Biological Sciences B.A. with Life Sciences 7-12 Certification,MATH,1314,College Algebra,University Core Requirements,42
Management B.S.,MGMT,3341,"Human Resource Planning, Staffing and Selection",Elective Requirements,9
Management B.S.,MGMT,3351,Wage and Salary Administration,Elective Requirements,9
Management B.S.,MGMT,4325,Legal Concepts for Human Resource Professionals,Elective Requirements,9
Management B.S.,MGMT,4316,Human Resource Management Information Systems,Elective Requirements,9
Healthcare Administration B.S.,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Healthcare Administration B.S.,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Healthcare Administration B.S.,ARTS,1303,World Art Survey I,University Core Requirements,42
Healthcare Administration B.S.,ARTS,1304,World Art Survey II,University Core Requirements,42
Healthcare Administration B.S.,ARTS,2379,Arts and the Child,University Core Requirements,42
Healthcare Administration B.S.,HIST,1301,United States History I,University Core Requirements,42
Healthcare Administration B.S.,HIST,1302,United States History II,University Core Requirements,42
History B.A. with History 7-12 Certification,POLS,2305,Federal Government,University Core Requirements,42
History B.A. with History 7-12 Certification,POLS,2306,Texas Government,University Core Requirements,42
History B.A. with History 7-12 Certification,GEOG,1303,World Regional Geography,University Core Requirements,42
History B.A. with History 7-12 Certification,COMM,1315,Public Speaking,University Core Requirements,42
History B.A. with History 7-12 Certification,PSYC,1100,Learning Frameworks,University Core Requirements,42
Healthcare Services B.A.S.,HUMN,1301,Humanities,University Core Requirements,42
Healthcare Services B.A.S.,LITR,2341,Literature and Experience,University Core Requirements,42
Healthcare Services B.A.S.,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Healthcare Services B.A.S.,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Healthcare Services B.A.S.,ARTS,1303,World Art Survey I,University Core Requirements,42
Healthcare Services B.A.S.,ARTS,1304,World Art Survey II,University Core Requirements,42
Information Technology B.A.S.,HIST,1301,United States History I,University Core Requirements,42
Information Technology B.A.S.,HIST,1302,United States History II,University Core Requirements,42
Information Technology B.A.S.,POLS,2305,Federal Government,University Core Requirements,42
Information Technology B.A.S.,POLS,2306,Texas Government,University Core Requirements,42
Information Technology B.A.S.,ANTH,2346,General Anthropology,University Core Requirements,42
Information Technology B.A.S.,CRIM,1301,Introduction to Criminal Justice,University Core Requirements,42
Information Technology B.A.S.,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Information Technology B.S.,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Information Technology B.S.,ECON,2302,Principles of Microeconomics,University Core Requirements,42
Information Technology B.S.,GEOG,1303,World Regional Geography,University Core Requirements,42
Information Technology B.S.,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Information Technology B.S.,SOCI,1301,Introduction to Sociology,University Core Requirements,42
History B.A. with Social Studies 7-12 Certification,HIST,1302,United States History II,University Core Requirements,42
History B.A. with Social Studies 7-12 Certification,POLS,2305,Federal Government,University Core Requirements,42
History B.A. with Social Studies 7-12 Certification,POLS,2306,Texas Government,University Core Requirements,42
History B.A. with Social Studies 7-12 Certification,GEOG,1303,World Regional Geography,University Core Requirements,42
History B.A. with Social Studies 7-12 Certification,COMM,1315,Public Speaking,University Core Requirements,42
History B.A. with Social Studies 7-12 Certification,PSYC,1100,Learning Frameworks,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,SOCI,1301,Introduction to Sociology,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,COMM,1315,Public Speaking,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,PSYC,1100,Learning Frameworks,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,EDUC,4310,Theories of Educational Psychology,College Core Requirements,
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,INST,3313,Survey of Instructional Technologies,College Core Requirements,
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,SILC,4315,Theories of American Pluralism,College Core Requirements,
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,WRIT,3307,Advanced Writing,Major Requirements,
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,TCED,4321,Social Studies Methods for EC-6,PedagogyRequirements,
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,TCED,4322,Science Methods for EC-6,PedagogyRequirements,
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,TCED,4323,Mathematics Methods for EC-6,PedagogyRequirements,
Interdisciplinary Studies B.A.S. with a major in Early Childhood Education - Educator of Young Children,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Interdisciplinary Studies B.A.S. with a major in Early Childhood Education - Educator of Young Children,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Interdisciplinary Studies B.A.S. with a major in Early Childhood Education - Educator of Young Children,ARTS,1303,World Art Survey I,University Core Requirements,42
Interdisciplinary Studies B.A.S. with a major in Early Childhood Education - Educator of Young Children,ARTS,1304,World Art Survey II,University Core Requirements,42
Interdisciplinary Studies B.A.S. with a major in Early Childhood Education - Educator of Young Children,ARTS,2379,Arts and the Child,University Core Requirements,42
Interdisciplinary Studies B.A.S. with a major in Early Childhood Education - Educator of Young Children,HIST,1301,United States History I,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 Certification,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 Certification,ECON,2302,Principles of Microeconomics,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 Certification,GEOG,1303,World Regional Geography,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 Certification,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 Certification,SOCI,1301,Introduction to Sociology,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 Certification,COMM,1315,Public Speaking,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,TCED,4323,Mathematics Methods for EC-6,Pedagogy Requirements,
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,TCED,4378,Pre-Service Internship I,Pedagogy Requirements,
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,TCED,4978,Pre-Service Internship II/Student Teaching,Pedagogy Requirements,
Literature B.A. with English Language Arts and Reading 4-8 Certification,TCED,4102,Secondary 4-8 and 7-12 Content Teacher Seminar,Major Requirements,55
Literature B.A. with English Language Arts and Reading 4-8 Certification,TCED,4304,Creating Positive Learning Environments in 4-8,Major Requirements,55
Literature B.A. with English Language Arts and Reading 4-8 Certification,TCED,4378,Pre-Service Internship I,Pedagogy Requirements,12
Literature B.A. with English Language Arts and Reading 4-8 Certification,TCED,4978,Pre-Service Internship II/Student Teaching,Pedagogy Requirements,12
Pre-Engineering,WRIT,3315,Advanced Technical Writing,Specialization in Industrial Engineering Requirements,
Pre-Engineering,MATH,2320,Differential Equations,Specialization in Industrial Engineering Requirements,
Pre-Engineering,CENG,3264,Engineering Design and Project Management,Specialization in Industrial Engineering Requirements,
Pre-Engineering,HIST,1302,United States History II,Specialization in Industrial Engineering Requirements,
Sociology B.S.,SOCI,4358,Family and Society,Major Requirements,54
Sociology B.S.,SOCI,4359,Family Policy,Major Requirements,54
Sociology B.S.,ANTH,3362,"Medicine, Bodies, and Culture",Major Requirements,54
Sociology B.S.,SOCI,3313,Urban and Rural Health,Major Requirements,54
Computer Engineering B.S.,PHYS,2125,Laboratory for University Physics I,University Core Requirements,42
Computer Engineering B.S.,PHYS,2126,Laboratory for University Physics II,University Core Requirements,42
Computer Engineering B.S.,CHEM,1311,General Chemistry I,Major Requirements,80
Computer Engineering B.S.,CHEM,1111,Laboratory for General Chemistry I,Major Requirements,80
Computer Engineering B.S.,PHYS,2325,University Physics I,Major Requirements,80
Computer Engineering B.S.,PHYS,2125,Laboratory for University Physics I,Major Requirements,80
Computer Science B.S.,CHEM,1311,General Chemistry I,Major Requirements,67
Computer Science B.S.,CHEM,1111,Laboratory for General Chemistry I,Major Requirements,67
Computer Science B.S.,PHYS,2325,University Physics I,Major Requirements,67
Computer Science B.S.,PHYS,2125,Laboratory for University Physics I,Major Requirements,67
Computer Science B.S.,PHYS,2326,University Physics II,Major Requirements,67
Humanities B.A.,SOCI,1301,Introduction to Sociology,University Core Requirements,42
Humanities B.A.,COMM,1315,Public Speaking,University Core Requirements,42
Humanities B.A.,PSYC,1100,Learning Frameworks,University Core Requirements,42
Humanities B.A.,WRIT,3305,Writing for the Humanities,College Core Requirements,
Humanities B.A.,WRIT,3307,Advanced Writing,College Core Requirements,
Humanities B.A.,HUMN,3374,Critical Inquiry,Major Requirements,66
History B.A.,GEOG,1303,World Regional Geography,University Core Requirements,42
History B.A.,COMM,1315,Public Speaking,University Core Requirements,42
History B.A.,PSYC,1100,Learning Frameworks,University Core Requirements,42
History B.A.,WRIT,3305,Writing for the Humanities,College Core Requirements,
History B.A.,WRIT,3307,Advanced Writing,College Core Requirements,
History B.A.,HUMN,3374,Critical Inquiry,Major Requirements,42
Chemistry BA with Physical Science 7-12 Certification,MATH,1324,Mathematics for Business and Social Sciences.,University Core Requirements,42
Chemistry BA with Physical Science 7-12 Certification,MATH,1325,Calculus for Business and Social Sciences,University Core Requirements,42
Chemistry BA with Physical Science 7-12 Certification,MATH,1332,Contemporary Mathematics,University Core Requirements,42
Chemistry BA with Physical Science 7-12 Certification,MATH,1342,Elementary Statistical Methods,University Core Requirements,42
Chemistry BA with Physical Science 7-12 Certification,MATH,1350,Mathematics for Teachers I,University Core Requirements,42
Chemistry BA with Physical Science 7-12 Certification,MATH,2412,Pre-Calculus Mathematics,University Core Requirements,42
Chemistry BA with Physical Science 7-12 Certification,MATH,2413,Calculus I,University Core Requirements,42
Chemistry BA with Physical Science 7-12 Certification,ASTR,1303,Stars and Galaxies,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,MATH,1325,Calculus for Business and Social Sciences,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,ASTR,1303,Stars and Galaxies,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,ASTR,1304,Solar System,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,BIOL,1306,Biology for Science Majors I,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,BIOL,1307,Biology for Science Majors II,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,BIOL,1308,Biology for Non-Science Majors I,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,BIOL,1309,Biology for Non-Science Majors II,University Core Requirements,42
Communication B.A.,PHYS,1302,College Physics II,University Core Requirements,42
Communication B.A.,PHYS,2325,University Physics I,University Core Requirements,42
Communication B.A.,PHYS,2326,University Physics II,University Core Requirements,42
Communication B.A.,HUMN,1301,Humanities,University Core Requirements,42
Communication B.A.,LITR,2341,Literature and Experience,University Core Requirements,42
Communication B.A.,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Communication B.A.,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Chemistry B.A.,WRIT,1301,Composition I,University Core Requirements,42
Chemistry B.A.,WRIT,1302,Composition II,University Core Requirements,42
Chemistry B.A.,MATH,2413,Calculus I,University Core Requirements,42
Chemistry B.A.,CHEM,1311,General Chemistry I,University Core Requirements,42
Chemistry B.S.,WRIT,1301,Composition I,University Core Requirements,42
Chemistry B.S.,WRIT,1302,Composition II,University Core Requirements,42
Biological Sciences B.A. with Life Sciences 7-12 Certification,BIOL,1306,Biology for Science Majors I,University Core Requirements,42
Biological Sciences B.A. with Life Sciences 7-12 Certification,BIOL,1307,Biology for Science Majors II,University Core Requirements,42
Biological Sciences B.A. with Life Sciences 7-12 Certification,HUMN,1301,Humanities,University Core Requirements,42
Biological Sciences B.A. with Life Sciences 7-12 Certification,LITR,2341,Literature and Experience,University Core Requirements,42
Biological Sciences B.A. with Life Sciences 7-12 Certification,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Biological Sciences B.A. with Life Sciences 7-12 Certification,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Management B.S.,MGMT,4333,Collective Bargaining in the Public Sector,Elective Requirements,9
Management B.S.,MGMT,4351,Industrial Labor Relations,Elective Requirements,9
Management B.S.,MGMT,4356,Employee Training and Organizational Development,Elective Requirements,9
Management B.S.,LEGL,4353,Dispute Resolution,Elective Requirements,9
Healthcare Administration B.S.,POLS,2305,Federal Government,University Core Requirements,42
Healthcare Administration B.S.,POLS,2306,Texas Government,University Core Requirements,42
Healthcare Administration B.S.,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Healthcare Administration B.S.,COMM,1315,Public Speaking,University Core Requirements,42
Healthcare Administration B.S.,PSYC,1100,Learning Frameworks,University Core Requirements,42
Healthcare Administration B.S.,ACCT,2301,Principles of Accounting I - Financial,College Core Requirements,
History B.A. with History 7-12 Certification,HUMN,3374,Critical Inquiry,College of Human Sciences and Humanities Core Requirements,6
History B.A. with History 7-12 Certification,HUMN,3375,Ideas in Transition,College of Human Sciences and Humanities Core Requirements,6
History B.A. with History 7-12 Certification,PHIL,3331,Ethics,College of Human Sciences and Humanities Core Requirements,6
History B.A. with History 7-12 Certification,PHIL,4314,The Great Philosophers I,College of Human Sciences and Humanities Core Requirements,6
History B.A. with History 7-12 Certification,PHIL,4315,The Great Philosophers II,College of Human Sciences and Humanities Core Requirements,6
Healthcare Services B.A.S.,ARTS,2379,Arts and the Child,University Core Requirements,42
Healthcare Services B.A.S.,HIST,1301,United States History I,University Core Requirements,42
Healthcare Services B.A.S.,HIST,1302,United States History II,University Core Requirements,42
Healthcare Services B.A.S.,POLS,2305,Federal Government,University Core Requirements,42
Healthcare Services B.A.S.,POLS,2306,Texas Government,University Core Requirements,42
Information Technology B.A.S.,ECON,2302,Principles of Microeconomics,University Core Requirements,42
Information Technology B.A.S.,GEOG,1303,World Regional Geography,University Core Requirements,42
Information Technology B.A.S.,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Information Technology B.A.S.,SOCI,1301,Introduction to Sociology,University Core Requirements,42
Information Technology B.A.S.,COMM,1315,Public Speaking,University Core Requirements,42
Information Technology B.A.S.,PSYC,1100,Learning Frameworks,University Core Requirements,42
Information Technology B.S.,COMM,1315,Public Speaking,University Core Requirements,42
Information Technology B.S.,PSYC,1100,Learning Frameworks,University Core Requirements,42
Information Technology B.S.,ITEC,3312,Scripting II,Major Requirements,45
Information Technology B.S.,ITEC,3335,Database Development,Major Requirements,45
History B.A. with Social Studies 7-12 Certification,HUMN,3374,Critical Inquiry,College of Human Sciences and Humanities Core Requirements,6
History B.A. with Social Studies 7-12 Certification,HUMN,3375,Ideas in Transition,College of Human Sciences and Humanities Core Requirements,6
History B.A. with Social Studies 7-12 Certification,PHIL,3331,Ethics,College of Human Sciences and Humanities Core Requirements,6
History B.A. with Social Studies 7-12 Certification,PHIL,4314,The Great Philosophers I,College of Human Sciences and Humanities Core Requirements,6
History B.A. with Social Studies 7-12 Certification,PHIL,4315,The Great Philosophers II,College of Human Sciences and Humanities Core Requirements,6
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,SPED,2301,Introduction to Special Populations,College Core Requirements,
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,SPED,4300,Survey of Exceptionalities,College Core Requirements,
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,TCED,1301,Exploring Teaching as a Profession,College Core Requirements,
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,LLLS,4311,Survey of Reading,Major Requirements,
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,LLLS,4346,Teaching Language Arts in the 4-8 Classroom,Major Requirements,
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,TCED,4378,Pre-Service Internship I,PedagogyRequirements,
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,TCED,4978,Pre-Service Internship II/Student Teaching,PedagogyRequirements,
Interdisciplinary Studies B.A.S. with a major in Early Childhood Education - Educator of Young Children,HIST,1302,United States History II,University Core Requirements,42
Interdisciplinary Studies B.A.S. with a major in Early Childhood Education - Educator of Young Children,POLS,2305,Federal Government,University Core Requirements,42
Interdisciplinary Studies B.A.S. with a major in Early Childhood Education - Educator of Young Children,POLS,2306,Texas Government,University Core Requirements,42
Interdisciplinary Studies B.A.S. with a major in Early Childhood Education - Educator of Young Children,ANTH,2346,General Anthropology,University Core Requirements,42
Interdisciplinary Studies B.A.S. with a major in Early Childhood Education - Educator of Young Children,CRIM,1301,Introduction to Criminal Justice,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 Certification,PSYC,1100,Learning Frameworks,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 Certification,EDUC,4310,Theories of Educational Psychology,College Core Requirements,
Interdisciplinary Studies B.S. with Core Subjects 4-8 Certification,INST,3313,Survey of Instructional Technologies,College Core Requirements,
Interdisciplinary Studies B.S. with Core Subjects 4-8 Certification,SILC,4315,Theories of American Pluralism,College Core Requirements,
Interdisciplinary Studies B.S. with Core Subjects 4-8 Certification,SPED,2301,Introduction to Special Populations,College Core Requirements,
Interdisciplinary Studies B.S. with Core Subjects 4-8 Certification,SPED,4300,Survey of Exceptionalities,College Core Requirements,
Pre-Engineering,WRIT,1301,Composition I,Specialization in Mechanical Engineering Requirements,
Pre-Engineering,HIST,1301,United States History I,Specialization in Mechanical Engineering Requirements,
Pre-Engineering,ENGR,1201,Introduction to Engineering,Specialization in Mechanical Engineering Requirements,
Pre-Engineering,CHEM,1311,General Chemistry I,Specialization in Mechanical Engineering Requirements,
Sociology B.S.,SOCI,4364,Medical Sociology,Major Requirements,54
Sociology B.S.,SOCI,4365,Sociology of Mental Health and Illness,Major Requirements,54
Sociology B.S.,SOCI,4367,Women's Health and Sexuality,Major Requirements,54
Sociology B.S.,SOCI,4316,Women and the Law,Major Requirements,54
Computer Engineering B.S.,PHYS,2326,University Physics II,Major Requirements,80
Computer Engineering B.S.,PHYS,2126,Laboratory for University Physics II,Major Requirements,80
Computer Engineering B.S.,MATH,2413,Calculus I,Major Requirements,80
Computer Engineering B.S.,MATH,2414,Calculus II,Major Requirements,80
Computer Science B.S.,PHYS,2126,Laboratory for University Physics II,Major Requirements,67
Computer Science B.S.,MATH,2305,Discrete Mathematics,Major Requirements,67
Computer Science B.S.,MATH,2318,Linear Algebra,Major Requirements,67
Computer Science B.S.,MATH,2413,Calculus I,Major Requirements,67
Computer Science B.S.,MATH,2414,Calculus II,Major Requirements,67
Humanities B.A.,PHIL,3321,Logic,Major Requirements,66
Humanities B.A.,PHIL,4314,The Great Philosophers I,Major Requirements,66
Humanities B.A.,PHIL,4315,The Great Philosophers II,Major Requirements,66
Humanities B.A.,PHIL,1301,Introduction to Philosophy,Major Requirements,66
Humanities B.A.,ARTS,1303,World Art Survey I,Major Requirements,66
Humanities B.A.,ARTS,1304,World Art Survey II,Major Requirements,66
History B.A.,HUMN,3375,Ideas in Transition,Major Requirements,42
History B.A.,PHIL,3331,Ethics,Major Requirements,42
History B.A.,PHIL,4314,The Great Philosophers I,Major Requirements,42
History B.A.,PHIL,4315,The Great Philosophers II,Major Requirements,42
History B.A.,ANTH,3311,Contemporary Cultural Anthropology,Major Requirements,42
History B.A.,ANTH,3358,Topics in Middle Eastern Societies,Major Requirements,42
Chemistry BA with Physical Science 7-12 Certification,ASTR,1304,Solar System,University Core Requirements,42
Chemistry BA with Physical Science 7-12 Certification,BIOL,1306,Biology for Science Majors I,University Core Requirements,42
Chemistry BA with Physical Science 7-12 Certification,BIOL,1307,Biology for Science Majors II,University Core Requirements,42
Chemistry BA with Physical Science 7-12 Certification,BIOL,1308,Biology for Non-Science Majors I,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,BIOL,2301,Anatomy & Physiology I,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,BIOL,2302,Anatomy & Physiology II,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,CHEM,1305,Introductory Chemistry I,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,CHEM,1311,General Chemistry I,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,CHEM,1312,General Chemistry II,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,ENSC,1301,Environmental Science I,University Core Requirements,42
Communication B.A.,ARTS,1303,World Art Survey I,University Core Requirements,42
Communication B.A.,ARTS,1304,World Art Survey II,University Core Requirements,42
Communication B.A.,ARTS,2379,Arts and the Child,University Core Requirements,42
Communication B.A.,HIST,1301,United States History I,University Core Requirements,42
Communication B.A.,HIST,1302,United States History II,University Core Requirements,42
Communication B.A.,POLS,2305,Federal Government,University Core Requirements,42
Chemistry B.A.,CHEM,1312,General Chemistry II,University Core Requirements,42
Chemistry B.A.,HUMN,1301,Humanities,University Core Requirements,42
Chemistry B.A.,LITR,2341,Literature and Experience,University Core Requirements,42
Chemistry B.A.,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Chemistry B.A.,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Chemistry B.A.,ARTS,1303,World Art Survey I,University Core Requirements,42
Chemistry B.S.,MATH,2413,Calculus I,University Core Requirements,42
Chemistry B.S.,CHEM,1311,General Chemistry I,University Core Requirements,42
Chemistry B.S.,CHEM,1312,General Chemistry II,University Core Requirements,42
Chemistry B.S.,HUMN,1301,Humanities,University Core Requirements,42
Chemistry B.S.,LITR,2341,Literature and Experience,University Core Requirements,42
Chemistry B.S.,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Chemistry B.S.,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Biological Science B.A.,WRIT,1301,Composition I,University Core Requirements,42
Biological Science B.S.,WRIT,1301,Composition I,University Core Requirements,42
Biological Science B.S. - M.S. Clinical Laboratory Sciences,BIOL,2121,Laboratory for Microbiology for Science Majors,Specialization Requirements,
Biological Science B.S. - M.S. Clinical Laboratory Sciences,BIOL,2321,Microbiology for Science Majors,Specialization Requirements,
Biological Sciences B.A. with Life Sciences 7-12 Certification,ARTS,1303,World Art Survey I,University Core Requirements,42
Biological Sciences B.A. with Life Sciences 7-12 Certification,ARTS,1304,World Art Survey II,University Core Requirements,42
Biological Sciences B.A. with Life Sciences 7-12 Certification,ARTS,2379,Arts and the Child,University Core Requirements,42
Biological Sciences B.A. with Life Sciences 7-12 Certification,HIST,1301,United States History I,University Core Requirements,42
Biological Sciences B.A. with Life Sciences 7-12 Certification,HIST,1302,United States History II,University Core Requirements,42
Biological Sciences B.A. with Life Sciences 7-12 Certification,POLS,2305,Federal Government,University Core Requirements,42
Art and Design B.F.A. with Graphic Design Concentration,WRIT,1301,Composition I,University Core Requirements,42
Art and Design B.F.A. with Graphic Design Concentration,WRIT,1302,Composition II,University Core Requirements,42
Art and Design B.F.A. with Graphic Design Concentration,MATH,1314,College Algebra,University Core Requirements,42
Behavioral Sciences B.S. - General,WRIT,1301,Composition I,University Core Requirements,42
Management B.S.,ENVR,3311,Foundations of Environmental Management,Elective Requirements,9
Management B.S.,ENVR,4315,Introduction to Environmental Law,Elective Requirements,9
Healthcare Administration B.S.,ACCT,2302,Principles of Accounting II-Managerial,College Core Requirements,
Healthcare Administration B.S.,BAPA,1301,Business Principles,College Core Requirements,
Healthcare Administration B.S.,ECON,2302,Principles of Microeconomics,College Core Requirements,
Healthcare Administration B.S.,ISAM,1305,Business Computer Applications,College Core Requirements,
Healthcare Administration B.S.,LEGL,2301,Legal Environment of Business,College Core Requirements,
Healthcare Administration B.S.,MATH,1325,Calculus for Business and Social Sciences,College Core Requirements,
History B.A. with History 7-12 Certification,WRIT,3304,Writing for Education,College of Human Sciences and Humanities Core Requirements,6
History B.A. with History 7-12 Certification,WRIT,3307,Advanced Writing,College of Human Sciences and Humanities Core Requirements,6
History B.A. with History 7-12 Certification,EDUC,4310,Theories of Educational Psychology,College of Education Core Requirements,18
History B.A. with History 7-12 Certification,INST,3313,Survey of Instructional Technologies,College of Education Core Requirements,18
History B.A. with History 7-12 Certification,SILC,4315,Theories of American Pluralism,College of Education Core Requirements,18
